Protein group ID	ID'ed in Moloney et al.	tagm.map.localisation.prediction	Protein IDs (Tb427)	Majority protein IDs (Tb427)	Protein IDs (Both 427 and 927)	Majority protein IDs (Both 427 and 927)	Protein description	Guther et al. Name	Guther et al. Description	Mito. OM acc. to Niemann et al. (2013)	Mito. IM acc. to Niemann et al. (2013)	Glycosomal acc. to Güther et al. (2014)	Comments	Is a dual localized protein	TMD/hydrophobic protein	TM Presence	Guther et al High + TM	Peroxins and known PMPs	Marker - NEW	Marker protein name	Mol. weight [kDa]	Q-value	Score	Mean correlation	p-value	Class 1/2 PMP final assessment	Class 1/2 protein (preliminary)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Correlation Glyco-mem Rep1	Correlation Glyco-mem Rep2	Correlation Glyco-mem Rep3	Correlation Glyco-mem imputed Rep1	Correlation Glyco-mem imputed Rep2	Correlation Glyco-mem imputed Rep3	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22
1266			Tb427_050048300	Tb427_050048300	Tb427_050048300;Tb927.5.4150	Tb427_050048300;Tb927.5.4150	"hypothetical protein, conserved "		"hypothetical protein, conserved"												42.589	0	137.68	0.1685602	4.68E-01			0.572720846	0.179444065	0.779759123	0.164440768	0.425612115	-0.336105228	-0.113606299	0.955392171	-0.336105228	-0.113606299	0.955392171	0.467960928	0.006822222	1	0.000571895	0.0071663	1	0.214944531	0.380273421	0.224306222	0.269670045	0.250201609	0.316565442	0.959003948	0.268444186	1	0.001293461	0.181404127	0.131555108	0.003463908	0.001387435	0.002390753	1	0.293532964	0.062500419	0.001997933	0.005421349	0.003700478
2026			Tb427_080021400	Tb427_080021400	Tb427_080021400;Tb927.8.1860	Tb427_080021400;Tb927.8.1860	"Insulinase (Peptidase family M16)/Peptidase M16 inactive domain/Peptidase M16C associated, putative "														114.45	0	323.31	0.1675771	5.35E-01			0.094083482	0.668964562	0.459721081	0.05226072	0.299281385	0.098979952	0.053345484	0.350405754	0.098979952	0.053345484	0.350405754	0.146467114	1	0.065571642	0.037779747	0.400882349	0.135576923	1	0.313591602	0.117892208	0.458240431	0.00020641	0.006893687	1	0.001110206	0.038721376	1.3652E-05	1.0832E-05	0.000495104	3.01023E-05	7.85019E-05	6.31571E-05	0.216697059	1	0.011645647	2.07561E-05	4.5852E-06	0.000207402
1855			Tb427_070062600	Tb427_070062600	Tb427_070062600;Tb927.7.5680	Tb427_070062600;Tb927.7.5680	"DeoC/LacD family aldolase, putative "	dRPA	"deoxyribose-phosphate aldolase, putative"			High-confidence									30.037	0	323.31	0.1663694	4.58E-01			0.443246418	0.215781713	0.694086344	0.033113709	0.49375053	-0.038206419	-0.281339351	0.818653866	-0.038206419	-0.281339351	0.818653866	0.32970937	0.138869573	1	0.000219876	0.303365427	1	0.158132472	0.931177371	0.099105501	0.177886162	2.98842E-05	0.350343094	0.151081662	1.57493E-05	1	4.62194E-05	1	0.166849975	3.2855E-05	0.000212027	6.89557E-05	0.028635199	0.038583091	0.004690836	0.000163067	3.02368E-05	6.06412E-05
500			Tb427_020026900	Tb427_020026900	Tb427_020026900;Tb927.2.5220	Tb427_020026900;Tb927.2.5220	"hypothetical protein, conserved "														38.977	0	7.3556	0.1660102	4.32E-01			0.440756144	0.4472272	1	0.394869269	0.506000942	-0.304729933		0.63675038	-0.304729933	-0.211160601	0.63675038	0.525925063	0.386069678	1	0.397047551	0.376787895	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.355587225	0.508384722	1	0.392690988	0.63521399	0.046629279	0.105223266	0.05246159	0.061249683	0.053736135	0.10797134	1	0.547221761	0.078448609	0.042138374	0.108084164	0.058224936
736	1	glycosomes	Tb427_030047600	Tb427_030047600	Tb427_030047600;Tb927.3.4420	Tb427_030047600;Tb927.3.4420	"hypothetical protein, conserved "		"hypothetical protein, conserved"			High-confidence									49.998	0	323.31	0.1654302	5.05E-01			0.302985734	0.434106896	0.734545825	0.192484965	0.619317807	0.033486697	-0.319563352	0.782367327	0.033486697	-0.319563352	0.782367327	0.081569903	0.254369707	1	0.03442655	0.339351909	0.707026167	0.606235844	1	0.426917843	0.518601513	0.120361133	0.441715137	0.203637474	0.116110502	1	0.000577094	1	0.030080399	0.000446334	0.000917549	0.000176812	0.056349426	0.039164587	0.000496389	0.000439323	0.00031522	8.72067E-05
1817			Tb427_070055400	Tb427_070055400	Tb11.v5.0178.1-p1;Tb427_070055400;Tb927.7.4970	Tb11.v5.0178.1-p1;Tb427_070055400;Tb927.7.4970	"Glutamine synthetase, beta-Grasp domain/Glutamine synthetase, catalytic domain containing protein, putative "		"glutamine synthetase, putative"												46.926	0	84.957	0.1651039	8.32E-01			0.310019903	0.670994538	0.614974689	0.100091189	0.35692312	0.586368519	-0.438733255	0.347676464	0.586368519	-0.438733255	0.347676464	0.295480067	1	0.513773863	0.245928782	0.98354155	0.627527547	1	0.331150203	0.039706046	0.04276822	0.007052096	0.012983613	1	0.01463874	0.044459591	0.000705161	0.06779427	0.012307214	0.002563342	0.002244136	0.001619975	0.05153262	0.686882982	1	0.001888582	0.000344033	0.001144978
3414			Tb427_100125300	Tb427_100125300	Tb427_100125300;Tb927.10.11780	Tb427_100125300;Tb927.10.11780	"hypothetical protein, conserved "														131.29	0	56.885	0.1648973	4.59E-01			0.484344901	0.541323639	0.68677717	0.320079623	0.599622415	-0.243377792	0.318112891	0.419956788	-0.243377792	0.318112891	0.419956788	0.104587762	0.054070953	1	0.027176829	0.033423345	1	0.569899964	0.66104631	0.595632537	0.779667728	0.348446939	1	0.399285199	0.337429502	0.985776173	0.00038296	0.030822904	0.008599456	0.001640176	0.002353751	0.002285918	1	0.172619611	0.000958911	0.000488232	0.001401054	0.000716663
4342			Tb427_110140300	Tb427_110140300	Tb427_110140300;Tb927.11.12360	Tb427_110140300;Tb927.11.12360	"hypothetical protein, conserved "		"ankyrin repeat protein, putative"												17.529	0	32.5	0.1648767	4.78E-01			0.527015393	0.159662864	0.695113976	0.10887174	0.425047548	-0.323802551	-0.172760072	0.99119265	-0.323802551	-0.172760072	0.99119265	0.50326284	0.038637064	1	0.046265852	0.062292044	1	0.283990106	0.335042225	0.179473205	0.212850599	0.07778334	0.156361422	0.750299702	0.100876163	1	0.026858046	0.095753651	0.091109965	0.0260345	0.035345533	0.031847487	1	0.031513985	0.026907162	0.027492023	0.027441385	0.016146038
2484			Tb427_090030400	Tb427_090030400	Tb427_090030400;Tb427_110166200;Tb927.11.14780;Tb927.9.5410	Tb427_090030400;Tb427_110166200;Tb927.11.14780;Tb927.9.5410	"hypothetical protein, conserved "		"hypothetical protein, conserved"												34.15	0	161.31	0.1646313	4.29E-01			0.464495149	0.414092704	0.955230453	0.381679896	0.62269138	-0.240597877	-0.247158498	0.981650352	-0.240597877	-0.247158498	0.981650352	0.271185664	0.172186561	1	0.15817612	0.177541954	0.730746187	0.673741614	1	0.650805019	0.690532186	0.391553596	0.396349936	0.865691359	0.336058548	1	0.002971486	0.062663602	0.036925055	0.001293097	0.004010284	0.00062646	1	0.280710502	0.001389348	0.00116435	0.000183192	0.000585679
364			Tb427_010021900	Tb427_010021900	Tb427_010021900;Tb927.1.3010	Tb427_010021900;Tb927.1.3010	"hypothetical protein, conserved "		"mRNA processing protein, putative"												40.847	0	128.62	0.1637314	5.02E-01			0.504642848	0.156418515	0.695626765	0.120338137	0.210015483		-0.040585402	0.368048256	0.094324188	-0.040585402	0.368048256	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	1	0.28629731	0.391253531	0.235057315	0.352182443	0.009285696	0.02653972	1	0.005618959	0.067848522	0.000525472	0.00122754	0.002812409	0.000650542	0.002417674	0.000746402	0.301265539	1	0.011999776	0.000630701	0.000501707	0.000278488
2420			Tb427_090019500	Tb427_090019500	Tb427_090019500;Tb927.9.3170	Tb427_090019500;Tb927.9.3170	"hypothetical protein, conserved "		cytochrome oxidase subunit V												22.23	0	323.31	0.1624791	4.93E-01			0.398191753	0.053184733	1	0.046930978	0.327846802	0.173217315	-0.300230337	0.614450433	0.173217315	-0.300230337	0.614450433	0.441381231	0.00483564	1	0.001396002	0.492390396	0.658875516	0.01743299	1	0.023980655	0.080728531	0.094318513	0.137285568	1	0.115416278	0.410421479	2.99605E-06	0.086888942	0.033348365	8.00586E-05	0.002183673	3.14404E-06	0.256429407	1	0.062143652	0.000124445	2.7892E-05	0.00011383
352			Tb427_010018400;Tb427_010018200;Tb427_010018000;Tb427_010017800;Tb427_010017600;Tb427_010017400;Tb427_010017200	Tb427_010018400;Tb427_010018200;Tb427_010018000;Tb427_010017800;Tb427_010017600;Tb427_010017400;Tb427_010017200	Tb11.v5.0468.1-p1;Tb427_010017200;Tb427_010017400;Tb427_010017600;Tb427_010017800;Tb427_010018000;Tb427_010018200;Tb427_010018400;Tb927.1.2340;Tb927.1.2360;Tb927.1.2380;Tb927.1.2400	Tb11.v5.0468.1-p1;Tb427_010017200;Tb427_010017400;Tb427_010017600;Tb427_010017800;Tb427_010018000;Tb427_010018200;Tb427_010018400;Tb927.1.2340;Tb927.1.2360;Tb927.1.2380;Tb927.1.2400	"Tubulin/FtsZ family, GTPase domain/Tubulin C-terminal domain containing protein, putative ;Tubulin/FtsZ family, GTPase domain/Tubulin C-terminal domain containing protein, putative ;Tubulin/FtsZ family, GTPase domain/Tubulin C-terminal domain containing pr"		alpha tubulin		Yes									Alpha tubulin	49.787	0	323.31	0.1616695	3.79E-01			0.44487192	0.133798965	0.916784023	0.000942135	0.355854846	-0.170696294	-0.171590467	0.827295391	-0.170696294	-0.171590467	0.827295391	0.334344529	0.061493155	1	0.001044243	0.163768344	1	0.087516986	0.750352069	0.001416306	0.188511427	0.000271232	0.252386755	1	0.000365854	0.715284768	0.000368097	0.225139665	0.064980048	0.000759178	0.004359936	0.001006265	0.942537909	1	0.205766161	0.001661014	2.34202E-05	0.000139118
1662			Tb427_070030100	Tb427_070030100	Tb427_070030100;Tb927.7.2560	Tb427_070030100;Tb927.7.2560	"hypothetical protein, conserved "														130.26	0.0053613	2.0287	0.1613505	3.87E-01			0.394582476	0.122405131	0.548408155	0.070843316	0.407143269	-0.198312625	-0.183576978	0.865940996	-0.198312625	-0.183576978	0.865940996	0.092775077	0.030802628	1	0.001602947	0.058376731	1	0.119906418	0.460597593	0.120057338	0.163053077	0.09097235	0.216506347	0.184626872	0.090869662	1	0.127795436	1	0.610496687	0.063114867	0.162884077	0.107991091	0.126784736	0.089928926	0.203357744	0.072143082	0.11340267	0.055540735
914			Tb427_040023800	Tb427_040023800	Tb427_040023800;Tb927.4.2140	Tb427_040023800;Tb927.4.2140	"hypothetical protein, conserved "														114.76	0	252.3	0.1610542	3.93E-01			0.483334368	0.113137906	0.758400106	0.073667196	0.354767005	-0.20760625	-0.200136638	0.890905486	-0.20760625	-0.200136638	0.890905486	0.347455608	0.138215214	1	0.138085443	0.209437585	1	0.052118904	0.275200317	0.019925846	0.024547938	0.102547497	0.149079601	1	0.0629903	0.830315494	0.000198225	0.011921186	0.010003902	0.000540489	0.000388741	7.88479E-05	1	0.146071011	0.000409445	0.000362918	7.46798E-05	9.91268E-05
3576			Tb427_100153900	Tb427_100153900	Tb11.v5.0477.1-p1;Tb427_100153900;Tb927.10.14560	Tb11.v5.0477.1-p1;Tb427_100153900;Tb927.10.14560	"hypothetical protein, conserved "		"hypothetical protein, conserved"												75.127	0	323.31	0.1607118	4.49E-01			0.260875115	0.224775701	0.887347532	0.17463036	0.501950346	-0.254242238	-0.261586892	0.997964648	-0.254242238	-0.261586892	0.997964648	0.127944816	0.000474193	1	0.002235252	0.002079055	0.550940185	0.500792573	1	0.444185318	0.503771983	0.103740345	0.173060335	0.662042595	0.077470509	1	0.000184795	0.000231927	0.003891162	0.000160191	0.000410352	0.000347017	1	0.046324659	0.000882269	0.0001806	0.000253195	0.003149249
3813			Tb427_110032800	Tb427_110032800	Tb427_110032800;Tb927.11.2790	Tb427_110032800;Tb927.11.2790	"Cilia- and flagella-associated protein 91, putative "		"hypothetical protein, conserved"												80.037	0	101.88	0.1599904	3.76E-01			0.562861348	0.241337944	0.745847369	0.213047953	0.42803354	-0.207996663	-0.153643261	0.841611086	-0.207996663	-0.153643261	0.841611086	0.527552949	0.378432687	1	0.383461317	0.430932762	1	0.120615885	0.237542107	0.087467513	0.107575763	0.161031096	0.224965262	1	0.168215028	0.745592095	0.001176422	0.000281973	0.027197681	0.000521582	0.000490271	0.000431435	0.641781704	1	0.003934751	0.000655997	0.000392446	0.000178998
2478			Tb427_090029400	Tb427_090029400	Tb427_090029400;Tb927.9.5220	Tb427_090029400;Tb927.9.5220	"hypothetical protein, conserved "														12.129	0	52.267	0.159805	4.98E-01			0.605773443	0.296070844	0.652361662	0.310010978	0.426332307	-0.335085404	-0.167317289	0.981817606	-0.335085404	-0.167317289	0.981817606	0.328585585	0.257386778	1	0.24665821	0.179838787	1	0.093982266	0.231587055	0.126317245	0.099158133	0.488734744	0.536843489	0.725497929	0.557057479	1	0.171575297	0.503700049	0.225672176	0.179447639	0.179614176	0.202977602	1	0.1838629	0.147445949	0.131192854	0.217475003	0.147978106
1781			Tb427_070049700	Tb427_070049700	Tb427_070049700;Tb927.7.4430	Tb427_070049700;Tb927.7.4430	"hypothetical protein, conserved "														25.513	0	70.706	0.1595132	4.94E-01			0.548163743	0.037616568	0.506807072	0.040903673	0.10155306		-0.055538916	0.374565354	0.080168819	-0.055538916	0.374565354	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	1	0.01355367	0.013614144	0.035794881	0.076252392	0.096327485	0.061679465	1	0.046012466	0.126853728	0.00752493	0.007294182	0.003798128	0.005710068	0.009582096	0.01416793	0.029773353	1	0.048550662	0.005229843	0.003259881	0.006409667
2994			Tb427_100042000	Tb427_100042000	Tb427_100042000;Tb927.10.3740	Tb427_100042000;Tb927.10.3740	"hypothetical protein, conserved "														54.391	0	12.525	0.1593092	6.56E-01			0.408625889	0.563809514	0.763052916	0.381033117	0.556187082	-0.108051583	0.958082261	-0.372103194	-0.108051583	0.958082261	-0.372103194	0.074843748	0.057849169	1	0.064188181	0.168810503	0.603115303	0.633579373	0.667671269	0.543893166	1	0.547918616	1	0.621487478	0.535018004	0.499750744	0.001375467	0.002393917	0.001356303	0.00158431	0.001721385	0.001571746	0.012517651	1	0.01460579	0.002082478	0.003047594	0.002648824
2097			Tb427_080034600	Tb427_080034600	Tb427_080034600;Tb927.8.3000	Tb427_080034600;Tb927.8.3000	"hypothetical protein, conserved "														57.235	0	50.139	0.1590675	4.42E-01			0.492079013	0.323771634	0.87824346	0.294044934	0.503384456	-0.218253069	-0.27152462	0.966980178	-0.218253069	-0.27152462	0.966980178	0.088692838	0.043953461	1	0.018649618	0.047305159	1	0.424108547	0.990335418	0.40767183	0.462848209	0.387544202	0.503252894	0.644394962	0.455813353	1	0.020495319	0.1265655	0.060584082	0.026627291	0.016001913	0.048761781	1	0.045384224	0.948776711	0.038530504	0.02655932	0.044836718
1011			Tb427_040046200	Tb427_040046200	Tb427_040046200;Tb927.4.4310	Tb427_040046200;Tb927.4.4310	"hypothetical protein, conserved "		Nucleoporin												64.258	0	18.266	0.1589497	6.04E-01			0.500495738	0.241810289	0.731102565	0.257980126	0.316745656	-0.017023344		0.334922646	-0.017023344	-0.002517444	0.334922646	1	0.481051984	0.462205129	0.509026717	0.610503709	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.000991477	0.002568595	1	0.006933535	0.022987602	0.003890923	0.015673856	0.071012654	0.005055956	0.011900636	0.019428881	0.090039361	1	0.049146092	0.006990351	0.007008651	0.006731554
1940			Tb427_070082700	Tb427_070082700	Tb11.v5.0215.1-p1;Tb427_000634900;Tb427_050005500;Tb427_050007100;Tb427_070082700;Tb927.5.300;Tb927.5.300b;Tb927.7.7500	Tb11.v5.0215.1-p1;Tb427_000634900;Tb427_050005500;Tb427_050007100;Tb427_070082700;Tb927.5.300;Tb927.5.300b;Tb927.7.7500	"non-haem dioxygenase in morphine synthesis N-terminal/2OG-Fe(II) oxygenase superfamily, putative "	TDO	"thymine-7-hydroxylase, putative"			High-confidence									36.926	0	323.31	0.1586706	4.34E-01			0.045690281	0.791221004	0.296505957	0.001018628	0.391376368	-0.195719755	-0.270471148	0.94220269	-0.195719755	-0.270471148	0.94220269	0.07984212	1	0.303073019	6.07647E-05	0.159536228	0.056988681	1	0.022672194	0.00228232	0.014592875	0.000240043	0.373663012	0.563772656	0.000712799	1	0.001042158	1	0.15182772	0.000599007	0.001121594	0.004787476	0.065602471	0.069367067	0.007487054	0.000585731	0.001040134	0.000448616
2507			Tb427_090034500	Tb427_090034500	Tb427_090034500;Tb427_090034600;Tb427_090034800;Tb927.9.6210;Tb927.9.6250;Tb927.9.6290	Tb427_090034500;Tb427_090034600;Tb427_090034800;Tb927.9.6210;Tb927.9.6250;Tb927.9.6290	"ATP:guanido phosphotransferase, N-terminal domain/ATP:guanido phosphotransferase, C-terminal catalytic domain containing protein, putative "														44.697	0	50.622	0.1582079	3.69E-01			0.497103029	0.635624383	0.615071072	0.063907631	0.389829974	0.022303282	-0.020065725	0.472386176	0.022303282	-0.020065725	0.472386176	0.48991864	1	0.555802288	0.003292653	0.515115923	1	0.838695507	0.289410928	0.187307136	0.466927454	0.001390446	0.068177643	1	0.001123105	0.187446546	0.000274064	0.123437975	0.056750178	0.00066102	0.004952835	0.001068744	0.115493458	1	0.605664875	0.011425601	0.000168486	7.63363E-05
2500			Tb427_090032700	Tb427_090032700	Tb427_090032700;Tb927.9.6060	Tb427_090032700;Tb927.9.6060	"Erv1 / Alr family, putative "		"hypothetical protein, conserved"												30.515	0	242.05	0.1578387	5.58E-01			0.55327677	0.1332723	0.892339497	0.127479261	0.383775114	0.268965079	-0.170244783	0.374795789	0.268965079	-0.170244783	0.374795789	0.657656281	0.016523617	1	0.015142177	0.657755929	1	0.375760764	0.677018492	0.363577048	0.426784778	0.002174029	0.007532519	1	0.003718557	0.066784634	2.63436E-05	0.001169061	0.010811335	6.51827E-05	7.83123E-05	1.29528E-05	0.075958851	1	0.016079193	9.31394E-05	6.40593E-05	9.84506E-05
1695			Tb427_070036300	Tb427_070036300	Tb427_070036300	Tb427_070036300	"Kelch motif/Galactose oxidase, central domain containing protein, putative "														112.05	0	70.989	0.1574299	3.56E-01			0.339818632	0.270438245	1	0.286370103	0.355833173	-0.208219039		0.523078896	-0.208219039	-0.14110545	0.523078896	0.078882563	0.028213688	1	0.022627878	0.050618772	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.600754701	0.512662803	1	0.550112327	0.661047574	0.715337869	0.749181092	0.722044266	0.71259476	0.72788939	0.716407819	0.736283313	1	0.783475579	0.702112052	0.693459884	0.716337184
3570			Tb427_100153200	Tb427_100153200	Tb11.v5.0420.1-p1;Tb427_100153200;Tb927.10.14490	Tb11.v5.0420.1-p1;Tb427_100153200;Tb927.10.14490	"hypothetical protein, conserved "		"hypothetical protein, conserved"		Yes										46.27	0	323.31	0.1566354	4.71E-01			0.585362189	0.139223367	0.779004779	0.108223672	0.367765664	-0.277393616	-0.242901018	0.990200729	-0.277393616	-0.242901018	0.990200729	0.437701403	0.004556577	1	0.001086749	0.063683146	1	0.043861556	0.516046911	0.001948799	0.039613844	0.318385163	0.369251969	0.820967427	0.321635467	1	8.12495E-05	0.435988909	0.053730816	0.002578811	0.012562916	0.00122505	1	0.309520866	0.004988785	0.000177242	0.000217961	0.000256946
3122			Tb427_100064800	Tb427_100064800	Tb11.v5.0199.1-p1;Tb427_100064800;Tb427_100064900;Tb927.10.6060;Tb927.10.6070	Tb11.v5.0199.1-p1;Tb427_100064800;Tb427_100064900;Tb927.10.6060;Tb927.10.6070	"Zinc knuckle, putative "		"universal minicircle sequence binding protein (UMSBP), putative,DNA-binding protein HEXBP, putative,zinc finger protein"												21.836	0	227.89	0.1564642	5.43E-01			0.474788713	0.054959698	0.978413395	0.036286282	0.320530023	-0.186245203	0.29910704	0.356530777	-0.186245203	0.29910704	0.356530777	0.422219289	0.024139504	1	0.004606476	0.16026595	1	0.134652634	0.935240186	0.10217056	0.755229855	0.00214685	0.006086957	1	0.002081811	0.046094264	8.99386E-05	0.015353435	0.012314965	5.33449E-05	0.004018446	0.00032631	0.618253985	1	0.375292161	0.000299931	0.00012884	0.00017077
3964			Tb427_110061300	Tb427_110061300			"hypothetical protein, conserved "														49.496	0.0053676	2.0412	0.1555495	4.50E-01			0.548951136	0.080191176	0.508900273	0.004562701	0.408296477	-0.299726929	-0.102366956	0.868742296	-0.299726929	-0.102366956	0.868742296	0.646647573	0.02068297	1	0.002032019	0.087712418	1	0.013763195	0.381715771	0.011436775	0.137177013	0.000205836	0.206127362	0.144985046	0.000219309	1	0.020041075	1	0.287711924	0.011380621	0.030785385	0.015211658	0.286429872	0.209226566	0.014208351	0.010694844	0.020337168	0.014238701
2154			Tb427_080047000	Tb427_080047000	Tb427_080047000;Tb927.8.4210	Tb427_080047000;Tb927.8.4210	"WD domain, G-beta repeat/Anaphase-promoting complex subunit 4 WD40 domain containing protein, putative "		"hypothetical protein, conserved"												46.138	0	23.159	0.155317	5.14E-01			0.271156989	0.510298605	0.774643865	0.271545725	0.355157269		-0.057197482	0.367831458	0.077174536	-0.057197482	0.367831458	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.503722866	1	0.549287729	0.524093249	0.630179707	0.038591112	0.020597209	1	0.018998201	0.080134831	0.020551908	0.092130192	0.02473688	0.017418468	0.038679984	0.017871464	0.042722051	0.380604345	1	0.039042946	0.008763133	0.011877342
748			Tb427_030050500	Tb427_030050500	Tb427_030050500;Tb927.3.4710	Tb427_030050500;Tb927.3.4710	"hypothetical protein, conserved "		"hypothetical protein, conserved"												59.645	0.0014616	2.7146	0.1549941	6.07E-01			0.435153297	0.454276914	0.790282037	0.612088113	0.76604569	0.296589605	0.733257264	-0.56486467	0.296589605	0.733257264	-0.56486467	0.405786454	0.407013416	1	0.530497834	0.737218145	0.233081398	0.340511449	0.76360894	0.305766507	1	0.666592038	0.615305878	0.607237171	1	0.560918925	0.016889584	0.202809463	0.024444905	0.085412517	0.007013005	0.039401895	1	0.01594127	0.008416357	0.086975677	0.02701702	0.010368387
351			Tb427_010018300;Tb427_010018100;Tb427_010017900;Tb427_010017700;Tb427_010017500;Tb427_010017300;Tb427_010017100	Tb427_010018300;Tb427_010018100;Tb427_010017900;Tb427_010017700;Tb427_010017500;Tb427_010017300;Tb427_010017100	Tb11.v5.0469.1-p1;Tb427_010017100;Tb427_010017300;Tb427_010017500;Tb427_010017700;Tb427_010017900;Tb427_010018100;Tb427_010018300;Tb927.1.2330;Tb927.1.2350;Tb927.1.2370;Tb927.1.2390	Tb11.v5.0469.1-p1;Tb427_010017100;Tb427_010017300;Tb427_010017500;Tb427_010017700;Tb427_010017900;Tb427_010018100;Tb427_010018300;Tb927.1.2330;Tb927.1.2350;Tb927.1.2370;Tb927.1.2390	"Tubulin/FtsZ family, GTPase domain/Tubulin C-terminal domain containing protein, putative ;Tubulin/FtsZ family, GTPase domain/Tubulin C-terminal domain containing protein, putative ;Tubulin/FtsZ family, GTPase domain/Tubulin C-terminal domain containing pr"		beta tubulin		Yes										49.704	0	323.31	0.1548185	3.62E-01			0.41127319	0.130196947	0.901915468	0.000413529	0.313075199	-0.146360616	-0.115223171	0.726039226	-0.146360616	-0.115223171	0.726039226	0.233682505	0.039848921	1	0.000713337	0.152540052	1	0.072319	0.705746404	0.000406698	0.229691062	0.000137065	0.27842292	1	0.000120551	0.556994482	0.000230586	0.159940039	0.087887873	0.000536022	0.006037176	0.001112397	1	0.928286614	0.221250187	0.001166242	2.3127E-05	0.000196306
1218			Tb427_050037600	Tb427_050037600	Tb427_050037600;Tb927.5.3110	Tb427_050037600;Tb927.5.3110	"hypothetical protein, conserved "		"hypothetical protein, conserved"												24.469	0	31.569	0.1545675	4.83E-01			0.522281993	0.161004728	1	0.141632301	0.318689226		-0.286514783	0.59564972	-0.092064789	-0.286514783	0.59564972	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.980370211	0.228332007	1	0.226689222	0.277968145	0.064193774	0.093677449	1	0.05657538	0.359410308	0.00011064	4.92786E-05	0.002213523	0.000593847	0.000122818	0.000195356	0.230831491	1	0.003408306	9.22032E-05	0.000261193	0.00015974
1472			Tb427_060045200	Tb427_060045200	Tb427_060045200;Tb927.6.4020	Tb427_060045200;Tb927.6.4020	"hypothetical protein, conserved "		"hypothetical protein, conserved"												11.61	0	22.182	0.1545154	8.34E-01			0.087428657	0.667581655	0.676245381	0.0592166	0.334926188	0.42335199	-0.283517406	0.323711509	0.42335199	-0.283517406	0.323711509	0.186150787	1	0.981870978	0.159903293	0.976063412	0.075951473	1	0.046865165	0.017580321	0.020484634	0.000183711	0.002744965	1	0.000166185	0.008230518	0.007927506	0.052859955	0.012495292	0.017648377	0.012055657	0.003508267	0.114227016	1	0.393930834	0.00481763	0.009221662	0.008983384
3511			Tb427_100143900	Tb427_100143900	Tb427_100143900;Tb927.10.13610	Tb427_100143900;Tb927.10.13610	"zinc-finger of a C2HC-type/Double zinc ribbon, putative "														78.734	0	8.5301	0.1544644	4.11E-01			0.324355831	0.282263343	0.877753042	0.268416905	0.459833203	-0.221374793	-0.207075924	0.891843926	-0.221374793	-0.207075924	0.891843926	0.277834237	0.157191024	1	0.189283693	0.202334741	0.088987342	0.087409664	1	0.095524468	0.177164867	0.606245916	0.60218934	0.633259127	0.520442554	1	0.370800324	1	0.344785649	0.297242589	0.292595065	0.271954426	0.476092024	0.605908584	0.283189157	0.247502454	0.216046862	0.264932546
2665			Tb427_090063900	Tb427_090063900	Tb427_090063900;Tb927.9.11140	Tb427_090063900;Tb927.9.11140	"Sperm-tail PG-rich repeat, putative "		"hypothetical protein, conserved"												51.895	0	126.97	0.1541622	5.09E-01			0.531769895	0.35537283	0.803224855	0.352323011	0.553078229	-0.329482524	-0.183391087	0.975360329	-0.329482524	-0.183391087	0.975360329	0.364222179	0.278541486	1	0.258384249	0.209402617	1	0.474270111	0.564546393	0.437663504	0.449832071	0.231087507	0.313306893	0.845128173	0.360921282	1	0.011080024	0.04458915	0.053119331	0.021595972	0.016891157	0.011544677	1	0.328050108	0.007983762	0.01921763	0.022877413	0.015083538
763			Tb427_030053100	Tb427_030053100	Tb427_030053100;Tb927.3.4970	Tb427_030053100;Tb927.3.4970	"hypothetical protein, conserved "		"hypothetical protein, conserved"												111.56	0	323.31	0.1538761	3.83E-01			0.59602046	0.061832584	0.731127538	0.03697765	0.285001535	-0.090018742	-0.15674652	0.708393486	-0.090018742	-0.15674652	0.708393486	0.683444985	0.003342113	1	0.004536707	0.307240525	1	0.012304011	0.193382613	0.003567049	0.021895983	0.104616395	0.169851627	1	0.102829193	0.525868096	1.92531E-05	0.16717789	0.04947226	0.000240983	0.002000849	0.000251286	1	0.376401932	0.005008258	6.89678E-05	6.8046E-06	5.61648E-05
